id,t_ms,duration_ms,peak,rms,lat,lon,speed_kmh,auto_label,final_label,frames,source,vision_label,vision_conf,vision_why,vision_frames,vision_driver_frame,vision_all_labels,note
0,3000,300.0,10.69,1.96,31.2305560826578,121.47375606843411,21.6,坑洼,坑洼,4.0,event,坑洼,0.9,存在相对周围明显偏暗的大块连通区域（5355 px，细长比 2.1）,4,frames/ev0_t3100.jpg,"['坑洼', '坑洼', '坑洼', '坑洼']",
1,15000,480.0,5.1,1.56,31.231178339100875,121.47397959707516,21.6,减速带,减速带,4.0,event,平路,0.8,各项病害指标均低,4,frames/ev1_t14400.jpg,"['平路', '平路', '平路', '平路']",
2,27000,300.0,11.38,2.91,31.231800595543945,121.47420312571622,21.6,井盖,井盖,4.0,event,平路,0.8,各项病害指标均低,4,frames/ev2_t26400.jpg,"['平路', '平路', '平路', '平路']",
3,39000,300.0,9.4,2.84,31.23242285198701,121.47442665435726,21.6,坑洼,坑洼,4.0,event,坑洼,0.9,存在相对周围明显偏暗的大块连通区域（5368 px，细长比 2.1）,4,frames/ev3_t38400.jpg,"['坑洼', '坑洼', '坑洼', '坑洼']",
4,51000,480.0,6.13,2.51,31.233045108430087,121.47465018299832,21.6,减速带,减速带,4.0,event,平路,0.8,各项病害指标均低,4,frames/ev4_t50400.jpg,"['平路', '平路', '平路', '平路']",
5,63000,300.0,10.37,2.47,31.23366736487316,121.47487371163936,21.6,井盖,井盖,4.0,event,平路,0.8,各项病害指标均低,4,frames/ev5_t62400.jpg,"['平路', '平路', '平路', '平路']",
6,75000,300.0,9.59,1.71,31.23428962131623,121.4750972402804,21.6,坑洼,坑洼,4.0,event,坑洼,0.9,存在相对周围明显偏暗的大块连通区域（5365 px，细长比 2.1）,4,frames/ev6_t74400.jpg,"['坑洼', '坑洼', '坑洼', '坑洼']",
7,87000,480.0,5.73,1.82,31.2349118777593,121.47532076892143,21.6,减速带,减速带,4.0,event,平路,0.8,各项病害指标均低,4,frames/ev7_t86400.jpg,"['平路', '平路', '平路', '平路']",
8,99000,300.0,9.67,1.8,31.235534134202368,121.4755442975625,21.6,井盖,井盖,4.0,event,平路,0.8,各项病害指标均低,4,frames/ev8_t98400.jpg,"['平路', '平路', '平路', '平路']",
-1,10000,,,,31.230919065582928,121.4738864601414,,,,,sweep,裂缝,0.85,检测到细长暗结构（细长比 9.4，纵向主导方向）,1,frames/sweep_t10000.jpg,['裂缝'],由周期扫描帧发现，IMU 未在此处检出颠簸事件
-2,22000,,,,31.231541322026,121.47410998878244,,,,,sweep,裂缝,0.85,检测到细长暗结构（细长比 9.4，纵向主导方向）,1,frames/sweep_t22000.jpg,['裂缝'],由周期扫描帧发现，IMU 未在此处检出颠簸事件
-3,4000,,,,31.23060793736139,121.47377469582088,,,,,sweep,坑洼,0.9,存在相对周围明显偏暗的大块连通区域（5364 px，细长比 2.1）,1,frames/sweep_t4000.jpg,['坑洼'],由周期扫描帧发现，IMU 未在此处检出颠簸事件
-4,46000,,,,31.23278583491214,121.47455704606456,,,,,sweep,裂缝,0.85,检测到细长暗结构（细长比 9.4，纵向主导方向）,1,frames/sweep_t46000.jpg,['裂缝'],由周期扫描帧发现，IMU 未在此处检出颠簸事件
-5,70000,,,,31.23403034779828,121.47500410334663,,,,,sweep,裂缝,0.85,检测到细长暗结构（细长比 9.4，纵向主导方向）,1,frames/sweep_t70000.jpg,['裂缝'],由周期扫描帧发现，IMU 未在此处检出颠簸事件
