==========================================================================
鍣０搴曚及璁℃柟寮忓姣旓紙6 缁勫悎鎴愬満鏅?脳 4 妗ｉ棬闄愬€嶆暟锛?
==========================================================================
閰嶇疆                                    k       鍙洖       璇姤
婊氬姩鏍囧噯宸?win=1s                        3.0      67%      0.0
婊氬姩鏍囧噯宸?win=1s                        4.0      67%      0.0
婊氬姩鏍囧噯宸?win=1s                        5.0       0%      0.0
婊氬姩鏍囧噯宸?win=1s                        6.0       0%      0.0
婊氬姩鏍囧噯宸?win=2s                        3.0     100%      0.0
婊氬姩鏍囧噯宸?win=2s                        4.0      67%      0.0
婊氬姩鏍囧噯宸?win=2s                        5.0      67%      0.0
婊氬姩鏍囧噯宸?win=2s                        6.0      44%      0.0
婊氬姩鏍囧噯宸?win=3s                        3.0     100%      0.0
婊氬姩鏍囧噯宸?win=3s                        4.0     100%      0.0
婊氬姩鏍囧噯宸?win=3s                        5.0      67%      0.0
婊氬姩鏍囧噯宸?win=3s                        6.0      67%      0.0
浣庡垎浣?win=2s q=10%                    3.0     100%      0.0
浣庡垎浣?win=2s q=10%                    4.0     100%      0.0
浣庡垎浣?win=2s q=10%                    5.0     100%      0.0
浣庡垎浣?win=2s q=10%                    6.0     100%      0.0
浣庡垎浣?win=2s q=20%                    3.0     100%      0.0
浣庡垎浣?win=2s q=20%                    4.0     100%      0.0
浣庡垎浣?win=2s q=20%                    5.0     100%      0.0
浣庡垎浣?win=2s q=20%                    6.0     100%      0.0
浣庡垎浣?win=2s q=30%                    3.0     100%      0.0
浣庡垎浣?win=2s q=30%                    4.0     100%      0.0
浣庡垎浣?win=2s q=30%                    5.0     100%      0.0
浣庡垎浣?win=2s q=30%                    6.0     100%      0.0
浣庡垎浣?win=3s q=10%                    3.0     100%      0.0
浣庡垎浣?win=3s q=10%                    4.0     100%      0.0
浣庡垎浣?win=3s q=10%                    5.0     100%      0.0
浣庡垎浣?win=3s q=10%                    6.0     100%      0.0
浣庡垎浣?win=3s q=20%                    3.0     100%      0.0
浣庡垎浣?win=3s q=20%                    4.0     100%      0.0
浣庡垎浣?win=3s q=20%                    5.0     100%      0.0
浣庡垎浣?win=3s q=20%                    6.0     100%      0.0
浣庡垎浣?win=3s q=30%                    3.0     100%      0.0
浣庡垎浣?win=3s q=30%                    4.0     100%      0.0
浣庡垎浣?win=3s q=30%                    5.0     100%      0.0
浣庡垎浣?win=3s q=30%                    6.0     100%      0.0
浣庡垎浣?win=5s q=10%                    3.0     100%      0.0
浣庡垎浣?win=5s q=10%                    4.0     100%      0.0
浣庡垎浣?win=5s q=10%                    5.0     100%      0.0
浣庡垎浣?win=5s q=10%                    6.0     100%      0.0
浣庡垎浣?win=5s q=20%                    3.0     100%      0.0
浣庡垎浣?win=5s q=20%                    4.0     100%      0.0
浣庡垎浣?win=5s q=20%                    5.0     100%      0.0
浣庡垎浣?win=5s q=20%                    6.0     100%      0.0
浣庡垎浣?win=5s q=30%                    3.0     100%      0.0
浣庡垎浣?win=5s q=30%                    4.0     100%      0.0
浣庡垎浣?win=5s q=30%                    5.0     100%      0.0
浣庡垎浣?win=5s q=30%                    6.0     100%      0.0
==========================================================================
婊¤冻 鍙洖>=95%% 涓?骞冲潎璇姤<=0.2 鐨勯厤缃紙鎸夎鎶ュ崌搴忥級锛?
  婊氬姩鏍囧噯宸?win=2s                     k=3.0  鍙洖100%  璇姤0.00
  婊氬姩鏍囧噯宸?win=3s                     k=3.0  鍙洖100%  璇姤0.00
  婊氬姩鏍囧噯宸?win=3s                     k=4.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=10%                 k=3.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=10%                 k=4.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=10%                 k=5.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=10%                 k=6.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=20%                 k=3.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=20%                 k=4.0  鍙洖100%  璇姤0.00
  浣庡垎浣?win=2s q=20%                 k=5.0  鍙洖100%  璇姤0.00

缁撹锛氫綆鍒嗕綅鏁板櫔澹板簳鍦ㄦ洿瀹界殑 k 鍖洪棿鍐呬繚鎸佹弧鍒嗭紝瀵瑰弬鏁颁笉鏁忔劅锛屽湪鐪熷疄鏁版嵁涓婃洿涓嶅鏄撳洜鏍囧畾璇樊鑰屽け鏁堛€?
褰撳墠 analyze.py 閲囩敤 q=20%%, win=3.0s, k=4.0銆?
exit=0
